CaseID,Activity,time:timestamp,org:resource,org:role,case:Project,case:Task,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
3207,,,,,,,,,,,
3207,Request For Payment FINAL_APPROVED by SUPERVISOR,17.579726609519824,STAFF MEMBER,SUPERVISOR,project 154071,UNKNOWN,organizational unit 65454,0.0,55.72301061862959,activity 505,request for payment number 168340
3207,,,,,,,,,,,
3207,Payment Handled,17.59593029930423,SYSTEM,UNDEFINED,project 154071,UNKNOWN,organizational unit 65454,0.0,55.72301061862959,activity 505,request for payment number 168340
3208,Request For Payment SUBMITTED by EMPLOYEE,17.567634328907058,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65463,0.0,11.8859272777531,UNKNOWN,request for payment number 170589
3208,,,,,,,,,,,
3208,Request For Payment FINAL_APPROVED by SUPERVISOR,17.579847631976108,STAFF MEMBER,SUPERVISOR,project 503,UNKNOWN,organizational unit 65463,0.0,11.8859272777531,UNKNOWN,request for payment number 170589
3208,,,,,,,,,,,
3208,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65463,0.0,11.8859272777531,UNKNOWN,request for payment number 170589
3209,Request For Payment SUBMITTED by EMPLOYEE,17.56763686343192,STAFF MEMBER,EMPLOYEE,project 147582,task 65269,organizational unit 65469,0.0,72.59064517045891,activity 505,request for payment number 170594
3209,,,,,,,,,,,
3209,Request For Payment APPROVED by BUDGET OWNER,17.569564713622608,STAFF MEMBER,BUDGET OWNER,project 147582,task 65269,organizational unit 65469,0.0,72.59064517045891,activity 505,request for payment number 170594
3209,,,,,,,,,,,
3209,Request Payment,17.59319555983046,SYSTEM,UNDEFINED,project 147582,task 65269,organizational unit 65469,0.0,72.59064517045891,activity 505,request for payment number 170594
3209,,,,,,,,,,,
3210,Request For Payment SUBMITTED by EMPLOYEE,17.56766612734169,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65482,0.0,85.0059827297538,UNKNOWN,request for payment number 168345
3210,,,,,,,,,,,
3210,Request For Payment FINAL_APPROVED by SUPERVISOR,17.567754007793262,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65482,0.0,85.0059827297538,UNKNOWN,request for payment number 168345
3210,,,,,,,,,,,
3210,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65482,0.0,85.0059827297538,UNKNOWN,request for payment number 168345
3211,Request For Payment SUBMITTED by EMPLOYEE,17.5677329124961,STAFF MEMBER,EMPLOYEE,project 147701,UNKNOWN,organizational unit 65488,0.0,41.49100667422627,UNKNOWN,request for payment number 167885
3211,,,,,,,,,,,
3211,Request For Payment FINAL_APPROVED by SUPERVISOR,17.569815608398226,STAFF MEMBER,SUPERVISOR,project 147701,UNKNOWN,organizational unit 65488,0.0,41.49100667422627,UNKNOWN,request for payment number 167885
3211,,,,,,,,,,,
3211,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147701,UNKNOWN,organizational unit 65488,0.0,41.49100667422627,UNKNOWN,request for payment number 167885
3212,Request For Payment SUBMITTED by EMPLOYEE,17.567845493815284,STAFF MEMBER,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,0.0,15.548789636945749,UNKNOWN,UNKNOWN
3212,,,,,,,,,,,
3212,Request For Payment REJECTED by EMPLOYEE,17.579851178965104,STAFF MEMBER,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65463,0.0,15.548789636945749,UNKNOWN,UNKNOWN
3213,Request For Payment SUBMITTED by EMPLOYEE,17.5682474497686,STAFF MEMBER,EMPLOYEE,project 151278,UNKNOWN,organizational unit 65462,0.0,151.19898868653195,UNKNOWN,request for payment number 170040
3213,,,,,,,,,,,
3213,Request For Payment APPROVED by BUDGET OWNER,17.577536704493433,STAFF MEMBER,BUDGET OWNER,project 151278,UNKNOWN,organizational unit 65462,0.0,151.19898868653195,UNKNOWN,request for payment number 170040
3213,,,,,,,,,,,
3213,Request Payment,17.583757945989284,SYSTEM,UNDEFINED,project 151278,UNKNOWN,organizational unit 65462,0.0,151.19898868653195,UNKNOWN,request for payment number 170040
3213,,,,,,,,,,,
3214,Request For Payment SUBMITTED by EMPLOYEE,17.569284048137863,STAFF MEMBER,EMPLOYEE,project 154479,UNKNOWN,organizational unit 65474,0.0,101.1566788000168,activity 505,request for payment number 167295
3214,,,,,,,,,,,
3214,Request For Payment FINAL_APPROVED by SUPERVISOR,17.577824053620276,STAFF MEMBER,SUPERVISOR,project 154479,UNKNOWN,organizational unit 65474,0.0,101.1566788000168,activity 505,request for payment number 167295
3214,,,,,,,,,,,
3214,Payment Handled,17.649651132306914,SYSTEM,UNDEFINED,project 154479,UNKNOWN,organizational unit 65474,0.0,101.1566788000168,activity 505,request for payment number 167295
3215,Request For Payment SUBMITTED by EMPLOYEE,17.569298128969354,STAFF MEMBER,EMPLOYEE,project 154479,UNKNOWN,organizational unit 65474,0.0,24.95198077067081,activity 505,request for payment number 167300
3215,,,,,,,,,,,
3215,Request For Payment REJECTED by EMPLOYEE,17.577821080184073,STAFF MEMBER,EMPLOYEE,project 154479,UNKNOWN,organizational unit 65474,0.0,24.95198077067081,activity 505,request for payment number 167300
3215,,,,,,,,,,,
3215,Request For Payment APPROVED by ADMINISTRATION,17.581554041870007,STAFF MEMBER,ADMINISTRATION,project 154479,UNKNOWN,organizational unit 65474,0.0,24.95198077067081,activity 505,request for payment number 167300
3215,,,,,,,,,,,
3215,Request Payment,17.645490015372186,SYSTEM,UNDEFINED,project 154479,UNKNOWN,organizational unit 65474,0.0,24.95198077067081,activity 505,request for payment number 167300
3215,,,,,,,,,,,
3216,Request For Payment SUBMITTED by EMPLOYEE,17.569300495279315,STAFF MEMBER,EMPLOYEE,project 147860,task 166897,organizational unit 65469,0.0,563.6181119490865,activity 505,request for payment number 167308
3216,,,,,,,,,,,
3216,Request For Payment FINAL_APPROVED by SUPERVISOR,17.569576284317233,STAFF MEMBER,SUPERVISOR,project 147860,task 166897,organizational unit 65469,0.0,563.6181119490865,activity 505,request for payment number 167308
3216,,,,,,,,,,,
3216,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147860,task 166897,organizational unit 65469,0.0,563.6181119490865,activity 505,request for payment number 167308
3217,Request For Payment SUBMITTED by EMPLOYEE,17.569354684587886,STAFF MEMBER,EMPLOYEE,project 147860,task 25860,organizational unit 65463,0.0,11.853210824952365,activity 505,request for payment number 168134
3217,,,,,,,,,,,
3217,Request For Payment FINAL_APPROVED by SUPERVISOR,17.5798524772063,STAFF MEMBER,SUPERVISOR,project 147860,task 25860,organizational unit 65463,0.0,11.853210824952365,activity 505,request for payment number 168134
3217,,,,,,,,,,,
3217,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147860,task 25860,organizational unit 65463,0.0,11.853210824952365,activity 505,request for payment number 168134
3218,Request For Payment SUBMITTED by EMPLOYEE,17.56936963123025,STAFF MEMBER,EMPLOYEE,project 151278,task 34818,organizational unit 65458,0.0,72.62193779913298,activity 505,request for payment number 168139
3218,,,,,,,,,,,
3218,Request For Payment APPROVED by BUDGET OWNER,17.579537581163734,STAFF MEMBER,BUDGET OWNER,project 151278,task 34818,organizational unit 65458,0.0,72.62193779913298,activity 505,request for payment number 168139
3218,,,,,,,,,,,
3218,Request Payment,17.583497613445324,SYSTEM,UNDEFINED,project 151278,task 34818,organizational unit 65458,0.0,72.62193779913298,activity 505,request for payment number 168139
3218,,,,,,,,,,,
3219,Request For Payment SUBMITTED by EMPLOYEE,17.569432695167283,STAFF MEMBER,EMPLOYEE,project 147690,UNKNOWN,organizational unit 65458,0.0,1755.810826721774,UNKNOWN,UNKNOWN
3219,,,,,,,,,,,
3219,Request For Payment REJECTED by BUDGET OWNER,17.57953609699209,STAFF MEMBER,BUDGET OWNER,project 147690,UNKNOWN,organizational unit 65458,0.0,1755.810826721774,UNKNOWN,UNKNOWN
3219,,,,,,,,,,,
3220,Request For Payment SUBMITTED by EMPLOYEE,17.56947739037863,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65482,0.0,61.94045756621895,UNKNOWN,request for payment number 170600
3220,,,,,,,,,,,
3220,Request For Payment APPROVED by BUDGET OWNER,17.579680028199757,STAFF MEMBER,BUDGET OWNER,project 147546,UNKNOWN,organizational unit 65482,0.0,61.94045756621895,UNKNOWN,request for payment number 170600
3220,,,,,,,,,,,
3220,Request Payment,17.680594669564115,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65482,0.0,61.94045756621895,UNKNOWN,request for payment number 170600
3220,,,,,,,,,,,
3221,Request For Payment SUBMITTED by EMPLOYEE,17.56952009258503,STAFF MEMBER,EMPLOYEE,project 147690,task 78973,organizational unit 65458,0.0,1572.3992682311005,activity 505,request for payment number 167313
3221,,,,,,,,,,,
3221,Request For Payment FINAL_APPROVED by SUPERVISOR,17.579535470856513,STAFF MEMBER,SUPERVISOR,project 147690,task 78973,organizational unit 65458,0.0,1572.3992682311005,activity 505,request for payment number 167313
3221,,,,,,,,,,,
3221,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147690,task 78973,organizational unit 65458,0.0,1572.3992682311005,activity 505,request for payment number 167313
3222,Request For Payment SUBMITTED by EMPLOYEE,17.569613267481756,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65469,0.0,82.03162541637982,UNKNOWN,request for payment number 168350
3222,,,,,,,,,,,
3222,Request For Payment FINAL_APPROVED by SUPERVISOR,17.569704044928823,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65469,0.0,82.03162541637982,UNKNOWN,request for payment number 168350
3222,,,,,,,,,,,
3222,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65469,0.0,82.03162541637982,UNKNOWN,request for payment number 168350
3223,Request For Payment SUBMITTED by EMPLOYEE,17.56963001368332,STAFF MEMBER,EMPLOYEE,project 147546,task 2444,organizational unit 65462,0.0,28.730484872050297,activity 505,request for payment number 170606
3223,,,,,,,,,,,
3223,Request For Payment FINAL_APPROVED by SUPERVISOR,17.577540910311335,STAFF MEMBER,SUPERVISOR,project 147546,task 2444,organizational unit 65462,0.0,28.730484872050297,activity 505,request for payment number 170606
3223,,,,,,,,,,,
3223,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147546,task 2444,organizational unit 65462,0.0,28.730484872050297,activity 505,request for payment number 170606
3224,Request For Payment SUBMITTED by EMPLOYEE,17.569672779633198,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,22.30511542552916,UNKNOWN,request for payment number 170611
3224,,,,,,,,,,,
3224,Request For Payment APPROVED by BUDGET OWNER,17.579531598083328,STAFF MEMBER,BUDGET OWNER,project 147546,UNKNOWN,organizational unit 65458,0.0,22.30511542552916,UNKNOWN,request for payment number 170611
3224,,,,,,,,,,,
3224,Request Payment,17.581887807284243,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,22.30511542552916,UNKNOWN,request for payment number 170611
3224,,,,,,,,,,,
3225,Request For Payment SUBMITTED by EMPLOYEE,17.569682569171704,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65454,0.0,33.6342942073803,UNKNOWN,request for payment number 164467
3225,,,,,,,,,,,
3225,Request For Payment FINAL_APPROVED by SUPERVISOR,17.579727768808233,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65454,0.0,33.6342942073803,UNKNOWN,request for payment number 164467
3225,,,,,,,,,,,
3225,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65454,0.0,33.6342942073803,UNKNOWN,request for payment number 164467
3226,Request For Payment SUBMITTED by EMPLOYEE,17.569716902058882,STAFF MEMBER,EMPLOYEE,project 147690,task 49912,organizational unit 65461,0.0,2094.14309419469,activity 505,request for payment number 165008
3226,,,,,,,,,,,
3226,Request For Payment REJECTED by SUPERVISOR,17.57754539494851,STAFF MEMBER,SUPERVISOR,project 147690,task 49912,organizational unit 65461,0.0,2094.14309419469,activity 505,request for payment number 165008
3226,,,,,,,,,,,
3226,Request For Payment SUBMITTED by EMPLOYEE,17.579901275943104,STAFF MEMBER,EMPLOYEE,project 147690,task 49912,organizational unit 65461,0.0,2094.14309419469,activity 505,request for payment number 165008
3226,,,,,,,,,,,
3226,Request For Payment FINAL_APPROVED by SUPERVISOR,17.57991175403114,STAFF MEMBER,SUPERVISOR,project 147690,task 49912,organizational unit 65461,0.0,2094.14309419469,activity 505,request for payment number 165008
3226,,,,,,,,,,,
3226,Payment Handled,17.59593029930423,SYSTEM,UNDEFINED,project 147690,task 49912,organizational unit 65461,0.0,2094.14309419469,activity 505,request for payment number 165008
3227,Request For Payment SUBMITTED by EMPLOYEE,17.56978006118791,STAFF MEMBER,EMPLOYEE,project 147556,task 157407,organizational unit 65454,0.0,82.04627054692918,activity 505,request for payment number 167318
3227,,,,,,,,,,,
3227,Request For Payment FINAL_APPROVED by SUPERVISOR,17.57973182630707,STAFF MEMBER,SUPERVISOR,project 147556,task 157407,organizational unit 65454,0.0,82.04627054692918,activity 505,request for payment number 167318
3227,,,,,,,,,,,
3227,Payment Handled,17.59593029930423,SYSTEM,UNDEFINED,project 147556,task 157407,organizational unit 65454,0.0,82.04627054692918,activity 505,request for payment number 167318
3228,Request For Payment SUBMITTED by EMPLOYEE,17.569868318042154,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,103.86429781830596,UNKNOWN,request for payment number 168145
3228,,,,,,,,,,,
3228,Request For Payment APPROVED by BUDGET OWNER,17.57985440138211,STAFF MEMBER,BUDGET OWNER,project 147556,UNKNOWN,organizational unit 65463,0.0,103.86429781830596,UNKNOWN,request for payment number 168145
3228,,,,,,,,,,,
3228,Request Payment,17.591442256982734,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,103.86429781830596,UNKNOWN,request for payment number 168145
3228,,,,,,,,,,,
3229,Request For Payment SUBMITTED by EMPLOYEE,17.56997930127811,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65461,0.0,61.4353951126682,UNKNOWN,request for payment number 170617
3229,,,,,,,,,,,
3229,Request For Payment FINAL_APPROVED by SUPERVISOR,17.577546184986133,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65461,0.0,61.4353951126682,UNKNOWN,request for payment number 170617
3229,,,,,,,,,,,
3229,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65461,0.0,61.4353951126682,UNKNOWN,request for payment number 170617
3230,Request For Payment SUBMITTED by EMPLOYEE,17.57152235385265,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65469,0.0,87.16211816120997,UNKNOWN,request for payment number 167323
3230,,,,,,,,,,,
3230,Request For Payment FINAL_APPROVED by SUPERVISOR,17.579835854955082,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65469,0.0,87.16211816120997,UNKNOWN,request for payment number 167323
3230,,,,,,,,,,,
3230,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65469,0.0,87.16211816120997,UNKNOWN,request for payment number 167323
3231,Request For Payment SUBMITTED by EMPLOYEE,17.571765185797414,STAFF MEMBER,EMPLOYEE,project 147701,task 14763,organizational unit 65461,0.0,102.72599431335716,activity 505,request for payment number 167328
3231,,,,,,,,,,,
3231,Request For Payment FINAL_APPROVED by SUPERVISOR,17.577555200665422,STAFF MEMBER,SUPERVISOR,project 147701,task 14763,organizational unit 65461,0.0,102.72599431335716,activity 505,request for payment number 167328
3231,,,,,,,,,,,
3231,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147701,task 14763,organizational unit 65461,0.0,102.72599431335716,activity 505,request for payment number 167328
3232,Request For Payment SUBMITTED by EMPLOYEE,17.57192250773528,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65482,0.0,6.235716129159848,UNKNOWN,request for payment number 165017
3232,,,,,,,,,,,
3232,Request For Payment FINAL_APPROVED by SUPERVISOR,17.57967437058952,STAFF MEMBER,SUPERVISOR,project 147620,UNKNOWN,organizational unit 65482,0.0,6.235716129159848,UNKNOWN,request for payment number 165017
3232,,,,,,,,,,,
3232,Payment Handled,17.59593029930423,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65482,0.0,6.235716129159848,UNKNOWN,request for payment number 165017
3233,Request For Payment SUBMITTED by EMPLOYEE,17.575998769151155,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65461,0.0,101.91914859308618,UNKNOWN,request for payment number 167333
3233,,,,,,,,,,,
3233,Request For Payment FINAL_APPROVED by SUPERVISOR,17.577560637917248,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65461,0.0,101.91914859308618,UNKNOWN,request for payment number 167333
3233,,,,,,,,,,,
3233,Payment Handled,17.582036720868313,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65461,0.0,101.91914859308618,UNKNOWN,request for payment number 167333
3234,Request For Payment SUBMITTED by EMPLOYEE,17.57639706634867,STAFF MEMBER,EMPLOYEE,project 147649,UNKNOWN,organizational unit 65469,0.0,409.3338727997738,UNKNOWN,request for payment number 170622
3234,,,,,,,,,,,
3234,Request For Payment APPROVED by BUDGET OWNER,17.579841789849155,STAFF MEMBER,BUDGET OWNER,project 147649,UNKNOWN,organizational unit 65469,0.0,409.3338727997738,UNKNOWN,request for payment number 170622
3234,,,,,,,,,,,
3234,Request Payment,17.57999096204286,SYSTEM,UNDEFINED,project 147649,UNKNOWN,organizational unit 65469,0.0,409.3338727997738,UNKNOWN,request for payment number 170622
3234,,,,,,,,,,,
3235,Request For Payment SUBMITTED by EMPLOYEE,17.57722984119263,STAFF MEMBER,EMPLOYEE,project 154071,UNKNOWN,organizational unit 65454,0.0,197.3518255440284,UNKNOWN,request for payment number 161192
3235,,,,,,,,,,,
3235,Request For Payment FINAL_APPROVED by SUPERVISOR,17.57978058456264,STAFF MEMBER,SUPERVISOR,project 154071,UNKNOWN,organizational unit 65454,0.0,197.3518255440284,UNKNOWN,request for payment number 161192
3235,,,,,,,,,,,
3235,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 154071,UNKNOWN,organizational unit 65454,0.0,197.3518255440284,UNKNOWN,request for payment number 161192
3236,Request For Payment SUBMITTED by EMPLOYEE,17.57732055740837,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65458,0.0,19.624477465871493,UNKNOWN,request for payment number 162567
3236,,,,,,,,,,,
3236,Request For Payment APPROVED by BUDGET OWNER,17.57953101832557,STAFF MEMBER,BUDGET OWNER,project 147546,UNKNOWN,organizational unit 65458,0.0,19.624477465871493,UNKNOWN,request for payment number 162567
3236,,,,,,,,,,,
3236,Request Payment,17.581887575926952,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65458,0.0,19.624477465871493,UNKNOWN,request for payment number 162567
3236,,,,,,,,,,,
3237,Request For Payment SUBMITTED by EMPLOYEE,17.577321580039783,STAFF MEMBER,EMPLOYEE,project 503,UNKNOWN,organizational unit 65454,0.0,50.80408468814281,UNKNOWN,request for payment number 162573
3237,,,,,,,,,,,
3237,Request For Payment APPROVED by BUDGET OWNER,17.57978121054476,STAFF MEMBER,BUDGET OWNER,project 503,UNKNOWN,organizational unit 65454,0.0,50.80408468814281,UNKNOWN,request for payment number 162573
3237,,,,,,,,,,,
3237,Request Payment,17.58739739000157,SYSTEM,UNDEFINED,project 503,UNKNOWN,organizational unit 65454,0.0,50.80408468814281,UNKNOWN,request for payment number 162573
3237,,,,,,,,,,,
3238,Request For Payment SUBMITTED by EMPLOYEE,17.577332271123773,STAFF MEMBER,EMPLOYEE,project 147701,UNKNOWN,organizational unit 65461,0.0,160.48063193889587,UNKNOWN,request for payment number 170051
3238,,,,,,,,,,,
3238,Request For Payment FINAL_APPROVED by SUPERVISOR,17.58135869207405,STAFF MEMBER,SUPERVISOR,project 147701,UNKNOWN,organizational unit 65461,0.0,160.48063193889587,UNKNOWN,request for payment number 170051
3238,,,,,,,,,,,
3238,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147701,UNKNOWN,organizational unit 65461,0.0,160.48063193889587,UNKNOWN,request for payment number 170051
3239,Request For Payment SUBMITTED by EMPLOYEE,17.577420514684327,STAFF MEMBER,EMPLOYEE,project 147556,UNKNOWN,organizational unit 65463,0.0,17.468073415606092,UNKNOWN,request for payment number 168151
3239,,,,,,,,,,,
3239,Request For Payment FINAL_APPROVED by SUPERVISOR,17.581318575835102,STAFF MEMBER,SUPERVISOR,project 147556,UNKNOWN,organizational unit 65463,0.0,17.468073415606092,UNKNOWN,request for payment number 168151
3239,,,,,,,,,,,
3239,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147556,UNKNOWN,organizational unit 65463,0.0,17.468073415606092,UNKNOWN,request for payment number 168151
3240,Request For Payment SUBMITTED by EMPLOYEE,17.5774578130843,STAFF MEMBER,EMPLOYEE,project 147556,task 15020,organizational unit 65468,0.0,112.56199504640344,activity 505,request for payment number 170628
3240,,,,,,,,,,,
3240,Request For Payment APPROVED by BUDGET OWNER,17.57990593546041,STAFF MEMBER,BUDGET OWNER,project 147556,task 15020,organizational unit 65468,0.0,112.56199504640344,activity 505,request for payment number 170628
3240,,,,,,,,,,,
3240,Request Payment,17.591716451930324,SYSTEM,UNDEFINED,project 147556,task 15020,organizational unit 65468,0.0,112.56199504640344,activity 505,request for payment number 170628
3240,,,,,,,,,,,
3241,Request For Payment SUBMITTED by EMPLOYEE,17.577481144211017,STAFF MEMBER,EMPLOYEE,project 162741,UNKNOWN,organizational unit 65469,0.0,216.40489043128184,UNKNOWN,request for payment number 162740
3241,,,,,,,,,,,
3241,Request For Payment APPROVED by BUDGET OWNER,17.57984619463058,STAFF MEMBER,BUDGET OWNER,project 162741,UNKNOWN,organizational unit 65469,0.0,216.40489043128184,UNKNOWN,request for payment number 162740
3241,,,,,,,,,,,
3241,Request Payment,17.59520558351908,SYSTEM,UNDEFINED,project 162741,UNKNOWN,organizational unit 65469,0.0,216.40489043128184,UNKNOWN,request for payment number 162740
3241,,,,,,,,,,,
3242,Request For Payment SUBMITTED by EMPLOYEE,17.577487766991425,STAFF MEMBER,EMPLOYEE,project 147620,UNKNOWN,organizational unit 65482,0.0,225.61387098811323,UNKNOWN,request for payment number 162747
3242,,,,,,,,,,,
3242,Request For Payment APPROVED by BUDGET OWNER,17.57967341992236,STAFF MEMBER,BUDGET OWNER,project 147620,UNKNOWN,organizational unit 65482,0.0,225.61387098811323,UNKNOWN,request for payment number 162747
3242,,,,,,,,,,,
3242,Request Payment,17.5893167656662,SYSTEM,UNDEFINED,project 147620,UNKNOWN,organizational unit 65482,0.0,225.61387098811323,UNKNOWN,request for payment number 162747
3242,,,,,,,,,,,
3243,Request For Payment SUBMITTED by EMPLOYEE,17.577538307818365,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65466,0.0,47.79034256420411,UNKNOWN,request for payment number 165230
3243,,,,,,,,,,,
3243,Request For Payment FINAL_APPROVED by SUPERVISOR,17.581576328763823,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65466,0.0,47.79034256420411,UNKNOWN,request for payment number 165230
3243,,,,,,,,,,,
3243,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65466,0.0,47.79034256420411,UNKNOWN,request for payment number 165230
3244,Request For Payment SUBMITTED by EMPLOYEE,17.57770118294151,STAFF MEMBER,EMPLOYEE,project 151278,UNKNOWN,organizational unit 65461,0.0,42.13128926381699,UNKNOWN,request for payment number 161197
3244,,,,,,,,,,,
3244,Request For Payment REJECTED by EMPLOYEE,17.5813607753893,STAFF MEMBER,EMPLOYEE,project 151278,UNKNOWN,organizational unit 65461,0.0,42.13128926381699,UNKNOWN,request for payment number 161197
3244,,,,,,,,,,,
3244,Request For Payment APPROVED by ADMINISTRATION,17.58141535670238,STAFF MEMBER,ADMINISTRATION,project 151278,UNKNOWN,organizational unit 65461,0.0,42.13128926381699,UNKNOWN,request for payment number 161197
3244,,,,,,,,,,,
3244,Request For Payment FINAL_APPROVED by SUPERVISOR,17.581942128494923,STAFF MEMBER,SUPERVISOR,project 151278,UNKNOWN,organizational unit 65461,0.0,42.13128926381699,UNKNOWN,request for payment number 161197
3244,,,,,,,,,,,
3244,Payment Handled,17.59593029930423,SYSTEM,UNDEFINED,project 151278,UNKNOWN,organizational unit 65461,0.0,42.13128926381699,UNKNOWN,request for payment number 161197
3245,Request For Payment SUBMITTED by EMPLOYEE,17.57786479809761,STAFF MEMBER,EMPLOYEE,project 148052,task 165236,organizational unit 65463,0.0,1856.5841399336248,activity 505,request for payment number 165235
3245,,,,,,,,,,,
3245,Request For Payment APPROVED by BUDGET OWNER,17.5813477661719,STAFF MEMBER,BUDGET OWNER,project 148052,task 165236,organizational unit 65463,0.0,1856.5841399336248,activity 505,request for payment number 165235
3245,,,,,,,,,,,
3245,Request Payment,17.591207709896572,SYSTEM,UNDEFINED,project 148052,task 165236,organizational unit 65463,0.0,1856.5841399336248,activity 505,request for payment number 165235
3245,,,,,,,,,,,
3246,Request For Payment SUBMITTED by EMPLOYEE,17.577880175570314,STAFF MEMBER,EMPLOYEE,project 151278,task 36889,organizational unit 65463,0.0,71.83417444478506,activity 505,request for payment number 165242
3246,,,,,,,,,,,
3246,Request For Payment FINAL_APPROVED by SUPERVISOR,17.58135292821258,STAFF MEMBER,SUPERVISOR,project 151278,task 36889,organizational unit 65463,0.0,71.83417444478506,activity 505,request for payment number 165242
3246,,,,,,,,,,,
3246,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 151278,task 36889,organizational unit 65463,0.0,71.83417444478506,activity 505,request for payment number 165242
3247,Request For Payment SUBMITTED by EMPLOYEE,17.577883729544716,STAFF MEMBER,EMPLOYEE,project 147546,task 30318,organizational unit 65462,0.0,219.04191049508063,activity 505,request for payment number 167338
3247,,,,,,,,,,,
3247,Request For Payment FINAL_APPROVED by SUPERVISOR,17.58136938637962,STAFF MEMBER,SUPERVISOR,project 147546,task 30318,organizational unit 65462,0.0,219.04191049508063,activity 505,request for payment number 167338
3247,,,,,,,,,,,
3247,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147546,task 30318,organizational unit 65462,0.0,219.04191049508063,activity 505,request for payment number 167338
3248,Request For Payment SUBMITTED by EMPLOYEE,17.57788533231335,STAFF MEMBER,EMPLOYEE,project 147546,UNKNOWN,organizational unit 65456,0.0,109.91528556019216,UNKNOWN,request for payment number 167343
3248,,,,,,,,,,,
3248,Request For Payment FINAL_APPROVED by SUPERVISOR,17.58138232587349,STAFF MEMBER,SUPERVISOR,project 147546,UNKNOWN,organizational unit 65456,0.0,109.91528556019216,UNKNOWN,request for payment number 167343
3248,,,,,,,,,,,
3248,Payment Handled,17.58999924402175,SYSTEM,UNDEFINED,project 147546,UNKNOWN,organizational unit 65456,0.0,109.91528556019216,UNKNOWN,request for payment number 167343
3249,Request For Payment SUBMITTED by EMPLOYEE,17.577961960239595,STAFF MEMBER,EMPLOYEE,project 147860,UNKNOWN,organizational unit 65469,0.0,558.9878408622967,UNKNOWN,request for payment number 162753
3249,,,,,,,,,,,
